symbol,entry_time_utc,entry_price,effective_entry_price,position_size_usd,zone_weight,exit_time_utc,exit_price,effective_exit_price,pnl_usd,exit_reason
EOS/USDT,2025-01-08 17:00:00,0.776900,0.778065,139.76,9,2025-01-15 15:00:00,0.842900,0.841636,11.42,sell_resistance
EOS/USDT,2025-01-23 02:00:00,0.788500,0.789683,119.93,9,2025-04-01 04:00:00,0.676400,0.675385,-17.36,sell_resistance
ETH/USDT,2025-02-02 16:00:00,3015.900000,3020.423850,100.00,49,2025-02-23 07:00:00,2825.200000,2820.962200,-6.60,sell_resistance
BAT/USDT,2025-02-03 00:00:00,0.178500,0.178768,140.98,11,2025-07-14 04:00:00,0.157000,0.156765,-17.35,sell_resistance
ARB/USDT,2025-02-04 05:00:00,0.468300,0.469002,180.00,7,2025-05-10 21:00:00,0.458400,0.457712,-4.33,sell_resistance
ADA/USDT,2025-02-04 14:00:00,0.771100,0.772257,104.15,6,2025-07-18 00:00:00,0.856100,0.854816,11.13,sell_resistance
GRT/USDT,2025-02-06 15:00:00,0.130600,0.130796,180.00,7,2025-03-11 00:00:00,0.081700,0.081577,-67.73,sell_stoploss
MANA/USDT,2025-02-06 15:00:00,0.310000,0.310465,164.86,7,2025-05-10 00:00:00,0.350800,0.350274,21.14,sell_resistance
DOGE/USDT,2025-02-07 13:00:00,0.258460,0.258848,119.54,7,2025-04-22 13:00:00,0.169270,0.169016,-41.48,sell_resistance
SNX/USDT,2025-02-09 21:00:00,0.929000,0.930394,178.81,6,2025-04-07 06:00:00,0.554000,0.553169,-72.50,sell_stoploss
BTC/USDT,2025-02-18 16:00:00,94639.980000,94781.939970,61.32,5,2025-04-21 14:00:00,88208.370000,88076.057445,-4.34,sell_resistance
SOL/USDT,2025-02-24 00:00:00,166.620000,166.869930,120.00,6,2025-03-24 10:00:00,141.800000,141.587300,-18.18,sell_resistance
AAVE/USDT,2025-02-24 19:00:00,224.420000,224.756630,119.02,5,2025-03-19 11:00:00,180.670000,180.398995,-23.49,sell_resistance
LINK/USDT,2025-02-24 22:00:00,15.190000,15.212785,138.97,6,2025-04-09 20:00:00,12.750000,12.730875,-22.67,sell_resistance
UNI/USDT,2025-02-28 01:00:00,7.525000,7.536288,159.12,6,2025-04-22 20:00:00,5.628000,5.619558,-40.47,sell_resistance
XRP/USDT,2025-02-28 03:00:00,2.020900,2.023931,100.00,10,2025-04-22 21:00:00,2.238700,2.235342,10.45,sell_resistance
ETH/USDT,2025-03-01 13:00:00,2152.690000,2155.919035,159.89,16,2025-06-10 22:00:00,2803.620000,2799.414570,47.73,sell_resistance
ICP/USDT,2025-03-04 01:00:00,5.917000,5.925876,183.04,9,2025-03-24 16:00:00,6.031000,6.021954,2.97,sell_resistance
CRV/USDT,2025-03-04 01:00:00,0.392600,0.393189,158.88,22,2025-03-26 05:00:00,0.538600,0.537792,58.43,sell_resistance
QNT/USDT,2025-03-07 09:00:00,81.600000,81.722400,142.99,6,2025-03-24 08:00:00,80.000000,79.880000,-3.22,sell_resistance
THETA/USDT,2025-03-09 00:00:00,1.006000,1.007509,180.00,7,2025-10-10 22:00:00,0.434000,0.433349,-102.58,sell_stoploss
LTC/USDT,2025-03-10 17:00:00,88.540000,88.672810,119.71,6,2025-04-12 14:00:00,78.720000,78.601920,-13.60,sell_resistance
XLM/USDT,2025-03-10 17:00:00,0.247800,0.248172,141.99,16,2025-03-26 04:00:00,0.296200,0.295756,27.23,sell_resistance
LDO/USDT,2025-03-10 17:00:00,0.916000,0.917374,189.64,7,2025-04-07 06:00:00,0.630000,0.629055,-59.60,sell_stoploss
ALGO/USDT,2025-03-10 18:00:00,0.181700,0.181973,162.08,6,2025-07-09 15:00:00,0.188900,0.188617,5.92,sell_resistance
XTZ/USDT,2025-03-11 00:00:00,0.622000,0.622933,161.83,14,2025-05-08 16:00:00,0.582000,0.581127,-10.86,sell_resistance
ICP/USDT,2025-03-28 04:00:00,5.879000,5.887818,183.09,9,2025-05-12 08:00:00,6.037000,6.027945,4.36,sell_resistance
QNT/USDT,2025-03-28 04:00:00,73.900000,74.010850,142.94,10,2025-05-01 19:00:00,80.500000,80.379250,12.30,sell_resistance
SOL/USDT,2025-03-29 11:00:00,125.300000,125.487950,159.71,13,2025-04-12 09:00:00,124.650000,124.463025,-1.30,sell_resistance
XLM/USDT,2025-04-06 03:00:00,0.251800,0.252178,142.38,16,2025-04-09 17:00:00,0.243900,0.243534,-4.88,sell_resistance
ETC/USDT,2025-04-06 05:00:00,15.940000,15.963910,180.78,7,2025-05-10 23:00:00,20.700000,20.668950,53.28,sell_resistance
APT/USDT,2025-04-06 13:00:00,4.643000,4.649965,180.00,10,2025-12-20 09:00:00,1.691000,1.688464,-114.64,sell_resistance
NEAR/USDT,2025-04-06 18:00:00,2.170000,2.173255,181.42,5,2025-04-22 21:00:00,2.390000,2.386415,17.79,sell_resistance
CRV/USDT,2025-04-07 06:00:00,0.400500,0.401101,159.81,14,2025-05-10 00:00:00,0.764400,0.763253,144.29,sell_resistance
CHZ/USDT,2025-04-16 17:00:00,0.034700,0.034752,180.00,11,2025-05-10 02:00:00,0.046350,0.046280,59.71,sell_resistance
UNI/USDT,2025-05-04 23:00:00,4.985000,4.992478,178.28,9,2025-05-08 15:00:00,5.546000,5.537681,19.47,sell_resistance
DOGE/USDT,2025-05-06 08:00:00,0.168360,0.168613,138.88,5,2025-05-09 07:00:00,0.205840,0.205531,30.41,sell_resistance
ICP/USDT,2025-05-12 14:00:00,5.857000,5.865786,162.82,9,2025-06-09 10:00:00,5.979000,5.970032,2.89,sell_resistance
EOS/USDT,2025-05-15 07:00:00,0.764800,0.765947,139.68,12,2025-05-16 05:00:00,0.830500,0.829254,11.54,sell_resistance
UNI/USDT,2025-05-17 00:00:00,5.964000,5.972946,158.78,22,2025-05-29 03:00:00,7.495000,7.483758,40.16,sell_resistance
MKR/USDT,2025-05-17 01:00:00,1750.000000,1752.625000,118.86,7,2025-05-29 02:00:00,1765.000000,1762.352500,0.66,sell_resistance
EOS/USDT,2025-05-21 09:00:00,0.746400,0.747520,139.84,12,2025-05-23 06:00:00,0.814600,0.813378,12.32,sell_resistance
SOL/USDT,2025-05-30 16:00:00,157.860000,158.096790,139.73,8,2025-06-30 12:00:00,149.920000,149.695120,-7.43,sell_resistance
MKR/USDT,2025-05-30 16:00:00,1542.000000,1544.313000,138.68,14,2025-06-03 01:00:00,1776.000000,1773.336000,20.57,sell_resistance
CHZ/USDT,2025-05-31 00:00:00,0.037440,0.037496,181.07,10,2025-07-09 08:00:00,0.036580,0.036525,-4.69,sell_resistance
UNI/USDT,2025-05-31 01:00:00,5.944000,5.952916,159.42,22,2025-06-10 09:00:00,7.276000,7.265086,35.14,sell_resistance
LINK/USDT,2025-06-05 16:00:00,13.510000,13.530265,138.65,13,2025-06-10 11:00:00,15.170000,15.147245,16.57,sell_resistance
AVAX/USDT,2025-06-05 19:00:00,19.280000,19.308920,161.76,5,2025-07-10 22:00:00,20.710000,20.678935,11.48,sell_resistance
LTC/USDT,2025-06-05 20:00:00,82.200000,82.323300,119.55,14,2025-06-29 22:00:00,88.190000,88.057715,8.33,sell_resistance
ICP/USDT,2025-06-12 10:00:00,5.905000,5.913858,162.87,9,2025-07-09 19:00:00,5.114000,5.106329,-22.24,sell_resistance
LINK/USDT,2025-06-13 00:00:00,13.230000,13.249845,138.89,6,2025-06-23 22:00:00,12.850000,12.830725,-4.39,sell_resistance
XLM/USDT,2025-06-13 01:00:00,0.256700,0.257085,142.31,16,2025-06-23 22:00:00,0.245200,0.244832,-6.78,sell_resistance
XRP/USDT,2025-06-13 02:00:00,2.101800,2.104953,100.10,8,2025-06-16 12:00:00,2.248000,2.244628,6.64,sell_resistance
ETC/USDT,2025-06-13 02:00:00,16.130000,16.154195,161.55,8,2025-07-18 00:00:00,20.690000,20.658965,45.05,sell_resistance
SNX/USDT,2025-06-21 10:00:00,0.558000,0.558837,177.50,10,2025-07-11 04:00:00,0.670000,0.668995,34.99,sell_resistance
